nombre_modelo,dim_latente,arquitectura,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros
tp3_BalancedAE_L9_lat8_ep8000_lr0_0005,8,BalancedAE_L9,8000,0.0005,False,988,0.10875311997799188,85.44642857142857,3055
tp3_WideTanhAE_lat8_ep8000_lr0_00075,8,WideTanhAE,8000,0.00075,False,691,0.10907238339825569,85.44642857142857,3427
tp3_BalancedAE_L9_lat8_ep8000_lr0_00075,8,BalancedAE_L9,8000,0.00075,False,707,0.1120215818777723,84.64285714285714,3055
tp3_BalancedAE_L9_lat8_ep10000_lr0_0005,8,BalancedAE_L9,10000,0.0005,False,849,0.11206664279513266,84.82142857142857,3055
tp3_WideTanhAE_lat8_ep10000_lr0_0005,8,WideTanhAE,10000,0.0005,False,779,0.11284204788976314,85.0,3427
tp3_DeepBalancedAE_lat8_ep10000_lr0_001,8,DeepBalancedAE,10000,0.001,False,571,0.11532349189080086,84.55357142857143,4167
tp3_DeepBalancedAE_lat8_ep8000_lr0_0005,8,DeepBalancedAE,8000,0.0005,False,829,0.11543902641365104,84.19642857142857,4167
tp3_WideTanhAE_lat8_ep10000_lr0_00075,8,WideTanhAE,10000,0.00075,False,638,0.11573486411206077,84.91071428571428,3427
tp3_BalancedAE_lat8_ep10000_lr0_001,8,BalancedAE,10000,0.001,False,764,0.12482027710749644,82.23214285714285,3007
tp3_BalancedAE_L9_lat8_ep8000_lr0_001,8,BalancedAE_L9,8000,0.001,False,610,0.12852006361893242,81.60714285714286,3055
tp3_DeepBalancedAE_lat8_ep8000_lr0_00075,8,DeepBalancedAE,8000,0.00075,False,568,0.13150664013503463,81.69642857142857,4167
tp3_BalancedAE_L9_lat8_ep10000_lr0_001,8,BalancedAE_L9,10000,0.001,False,550,0.13235617655921558,81.69642857142857,3055
tp3_BalancedAE_L9_lat8_ep10000_lr0_00075,8,BalancedAE_L9,10000,0.00075,False,592,0.13465354306002095,81.51785714285714,3055
tp3_DeepBalancedAE_lat8_ep8000_lr0_001,8,DeepBalancedAE,8000,0.001,False,619,0.1371199478989752,80.625,4167
tp3_DeepReLU_L8_lat8_ep8000_lr0_0005,8,DeepReLU_L8,8000,0.0005,False,681,0.13828006348354238,79.01785714285714,4167
tp3_DeepReLU_L8_lat8_ep10000_lr0_00075,8,DeepReLU_L8,10000,0.00075,False,583,0.14478587263906084,77.85714285714286,4167
tp3_WideReLU_L10_lat8_ep8000_lr0_001,8,WideReLU_L10,8000,0.001,False,568,0.14520488979664292,78.39285714285714,3103
tp3_WideReLU_L10_lat8_ep10000_lr0_0005,8,WideReLU_L10,10000,0.0005,False,604,0.14761390531338806,78.48214285714286,3103
tp3_WideReLU_L10_lat8_ep8000_lr0_0005,8,WideReLU_L10,8000,0.0005,False,611,0.1477416150553828,78.21428571428571,3103
tp3_WideReLU_L10_lat8_ep10000_lr0_00075,8,WideReLU_L10,10000,0.00075,False,537,0.15032919746356171,78.30357142857143,3103
tp3_WideReLU_L10_lat8_ep8000_lr0_00075,8,WideReLU_L10,8000,0.00075,False,534,0.15445537334834789,77.05357142857143,3103
tp3_DeepReLU_L8_lat8_ep8000_lr0_001,8,DeepReLU_L8,8000,0.001,False,556,0.1560355961255039,75.71428571428571,4167
tp3_WideReLU_L10_lat8_ep10000_lr0_001,8,WideReLU_L10,10000,0.001,False,498,0.15766362500250394,77.32142857142857,3103
tp3_BalancedAE_lat8_ep8000_lr0_00075,8,BalancedAE,8000,0.00075,False,507,0.163038499996977,76.875,3007
tp3_DeepReLU_L8_lat8_ep8000_lr0_00075,8,DeepReLU_L8,8000,0.00075,False,552,0.17012483784580487,73.75,4167
tp3_DeepReLU_L8_lat8_ep10000_lr0_0005,8,DeepReLU_L8,10000,0.0005,False,553,0.1707587179605727,72.58928571428571,4167
tp3_DeepReLU_L8_lat8_ep10000_lr0_001,8,DeepReLU_L8,10000,0.001,False,499,0.17227829035148795,72.67857142857143,4167
tp3_WideTanhAE_lat9_ep10000_lr0_001,9,WideTanhAE,10000,0.001,False,881,0.06570971255896059,92.41071428571429,3452
tp3_BalancedAE_L9_lat9_ep8000_lr0_00075,9,BalancedAE_L9,8000,0.00075,False,1164,0.06926539568080144,91.69642857142857,3074
tp3_WideTanhAE_lat9_ep10000_lr0_0005,9,WideTanhAE,10000,0.0005,False,1103,0.07799860812670281,90.0,3452
tp3_WideTanhAE_lat9_ep8000_lr0_0005,9,WideTanhAE,8000,0.0005,False,1200,0.07880354383962004,90.0,3452
tp3_BalancedAE_L9_lat9_ep8000_lr0_001,9,BalancedAE_L9,8000,0.001,False,810,0.08115641758252108,89.64285714285715,3074
tp3_DeepBalancedAE_lat9_ep10000_lr0_0005,9,DeepBalancedAE,10000,0.0005,False,787,0.09964439880548216,87.58928571428571,4184
tp3_BalancedAE_L9_lat9_ep10000_lr0_0005,9,BalancedAE_L9,10000,0.0005,False,964,0.10246717575735853,86.42857142857143,3074
tp3_BalancedAE_L9_lat9_ep10000_lr0_00075,9,BalancedAE_L9,10000,0.00075,False,1188,0.10562911116067442,85.80357142857142,3074
tp3_WideTanhAE_lat9_ep8000_lr0_001,9,WideTanhAE,8000,0.001,False,616,0.10791283541959587,85.80357142857142,3452
tp3_BalancedAE_lat9_ep8000_lr0_0005,9,BalancedAE,8000,0.0005,False,824,0.10795496379326573,85.53571428571428,3024
tp3_DeepBalancedAE_lat9_ep10000_lr0_001,9,DeepBalancedAE,10000,0.001,False,629,0.10990435027269067,85.44642857142857,4184
tp3_WideTanhAE_lat9_ep10000_lr0_00075,9,WideTanhAE,10000,0.00075,False,687,0.11062913970568464,85.625,3452
tp3_DeepBalancedAE_lat9_ep10000_lr0_00075,9,DeepBalancedAE,10000,0.00075,False,673,0.11111127794496803,85.53571428571428,4184
tp3_BalancedAE_lat9_ep10000_lr0_0005,9,BalancedAE,10000,0.0005,False,795,0.11440396353041736,84.375,3024
tp3_BalancedAE_lat9_ep10000_lr0_00075,9,BalancedAE,10000,0.00075,False,683,0.11505617580678845,84.55357142857143,3024
tp3_BalancedAE_L9_lat9_ep10000_lr0_001,9,BalancedAE_L9,10000,0.001,False,627,0.11770470253348805,83.83928571428572,3074
tp3_DeepBalancedAE_lat9_ep8000_lr0_0005,9,DeepBalancedAE,8000,0.0005,False,696,0.12062565473148677,83.92857142857143,4184
